Mode    Mapping                                                           Kbytes    PSS  Dirty
0       ---p /usr/lib/gstreamer-1.0/libgsttypefindfunctions.so                60      0      0
0       ---p /lib/libnss_compat-2.31.so                                       60      0      0
0       ---p /usr/lib/libFLAC.so.8.3.0                                        60      0      0
0       ---p /usr/lib/libwayland-server.so.0.1.0                              60      0      0
0       ---p /usr/lib/libgbm.so                                               60      0      0
0       ---p /usr/lib/libion.so.0.0.0                                         60      0      0
0       ---p /usr/lib/libsync.so.0.0.0                                        60      0      0
0       ---p /usr/lib/libgstbase-1.0.so.0.1603.0                              60      0      0
0       ---p /usr/lib/libgstvideo-1.0.so.0.1603.0                             60      0      0
0       ---p /lib/libpcre.so.1.2.12                                           60      0      0
0       ---p /app/lib/libtiff.so.3.9.4                                        60      0      0
0       ---p /app/lib/libpsd.so.1.0.9                                         60      0      0
0       ---p /app/lib/libjasper.so.1.900.1                                    60      0      0
0       ---p /usr/lib/liblog.so.0.0.0                                         60      0      0
0       r-xp /usr/lib/libcutils.so.0.0.0                                      60      2      0
0       ---p /usr/lib/libcutils.so.0.0.0                                      60      0      0
0       ---p /lib/libudev.so.1.6.16                                           60      0      0
0       ---p /usr/lib/libffi.so.7.1.0                                         60      0      0
0       ---p /app/lib/libdevice.so.1.0.0                                      60      0      0
0       ---p /usr/lib/libsamplerate.so.0.1.9                                  60      0      0
0       ---p /usr/lib/libasound.so.2.0.0                                      60      0      0
0       ---p /usr/lib/libgsttag-1.0.so.0.1603.0                               60      0      0
0       ---p /usr/lib/libgthread-2.0.so.0.6200.6                              60      0      0
0       ---p /usr/lib/libgmodule-2.0.so.0.6200.6                              60      0      0
0       ---p /usr/lib/libgobject-2.0.so.0.6200.6                              60      0      0
0       ---p /usr/lib/libglib-2.0.so.0.6200.6                                 60      0      0
0       ---p /lib/libdl-2.31.so                                               60      0      0
0       ---p /lib/librt-2.31.so                                               60      0      0
0       ---p /app/lib/libservice.so.1.0.0                                     60      0      0
0       ---p /app/lib/libpinyin.so.1.0.0                                      60      0      0
0       ---p /app/lib/libfdbus.so                                             60      0      0
0       ---p /app/lib/libcximage.so.7.0.0                                     60      0      0
0       ---p /usr/lib/libpng16.so.16.37.0                                     60      0      0
0       ---p /usr/lib/libfreetype.so.6.17.1                                   60      0      0
0       ---p /usr/lib/libGLESv2_adreno.so                                     60      0      0
0       ---p /usr/lib/libEGL_adreno.so                                        60      0      0
0       ---p /app/lib/libtouch.so.0.0.1                                       60      0      0
0       ---p /usr/lib/libwayland-egl.so.1.0.0                                 60      0      0
0       ---p /usr/lib/libwayland-client.so.0.3.0                              60      0      0
0       ---p /lib/libgcc_s.so.1                                               60      0      0
0       ---p /lib/libm-2.31.so                                                60      0      0
0       ---p /app/lib/libreflectcpp.so.0.17.0                                 60      0      0
0       ---p /app/lib/libcvi-lib-log.so                                       60      0      0
0       ---p /usr/lib/libjsoncpp.so.1.0.0                                     60      0      0
0       ---p /app/lib/libvehicle.so.1.0.0                                     60      0      0
0       ---p /app/lib/libTestActionApi.so.1.0.0                               60      0      0
0       ---p /app/lib/libfilemgr.so.1.0.0                                     60      0      0
0       ---p /app/lib/liblogsystem.so.1.0.0                                   60      0      0
0       ---p /app/lib/liblocation.so.1.0.0                                    60      0      0
0       ---p /app/lib/libthumbnail.so.1.0.0                                   60      0      0
0       ---p /app/lib/libremote.so.1.0.0                                      60      0      0
0       ---p /app/lib/liblinux_hal.so.0.0.1                                   60      0      0
0       ---p /app/lib/libavinfo.so.1.0.0                                      60      0      0
0       ---p /usr/lib/libsqlite3.so.0.8.6                                     60      0      0
0       ---p /app/lib/libipod.so.1.0.0                                        60      0      0
0       ---p /app/lib/libcamera.so.1.0.0                                      60      0      0
0       ---p /usr/lib/libboost_system.so.1.72.0                               60      0      0
0       ---p /app/lib/libtimer.so.0.0.1                                       60      0      0
0       ---p /app/lib/libbt.so.1.0.0                                          60      0      0
0       ---p /app/lib/libradio.so.1.0.0                                       60      0      0
0       ---p /app/lib/libservicefw.so.1.0.0                                   60      0      0
0       ---p /app/lib/libCommomUtils.so.1.0.0                                 60      0      0
0       ---p /usr/lib/libilmCommon.so.2.2.0                                   60      0      0
0       ---p /usr/lib/libilmControl.so.2.2.0                                  60      0      0
0       ---p /usr/lib/libilmClient.so.2.2.0                                   60      0      0
0       ---p /app/lib/libcvi-lib-timer.so                                     60      0      0
0       ---p /lib/libpthread-2.31.so                                          60      0      0
0       r-xp /usr/lib/gstreamer-1.0/libgstwavparse.so                         56     18      0
0       r-xp /usr/lib/libgstcontroller-1.0.so.0.1603.0                        56     14      0
0       r-xp /app/lib/libipcassistant.so.0.0.1                                56      3      0
0       r-xp /usr/lib/libwayland-client.so.0.3.0                              56      6      0
0       r-xp /usr/lib/libgstriff-1.0.so.0.1603.0                              52     17      0
0       r-xp /usr/lib/gstreamer-1.0/libgstvorbis.so                           52     17      0
0       r--p /lib/libavformat.so.58.29.100                                    52     52     52
0       r--p /usr/lib/libstdc++.so.6.0.29                                     52     52     52
0       r--p /app/lib/libbt.so.1.0.0                                          52     52     52
0       r-xp /app/lib/libcvi-lib-timer.so                                     52     52      0
0       r--p /usr/lib/libprotobuf.so.22.0.4                                   52     52     52
0       r--p /usr/lib/libgstvideo-1.0.so.0.1603.0                             48     48     48
0       rw-p /lib/libavfilter.so.7.57.100                                     44     44     44
0       r-xp /app/lib/libconfig.so.1.0.0                                      44      2      0
0       r-xp /usr/lib/libilmControl.so.2.2.0                                  44      6      0
0       r--p /lib/libavutil.so.56.31.100                                      40     40     40
0       rw-p /lib/libavformat.so.58.29.100                                    40     40     40
0       r-xp /usr/lib/liblog.so.0.0.0                                         40      1      0
0       r--p /app/lib/libradio.so.1.0.0                                       40     40     40
0       r--p /usr/share/locale/zh_CN/LC_MESSAGES/gstreamer-1.0.mo             36     36      0
0       r-xp /app/lib/libgestures.so.1.0.0                                    36     36      0
0       rw-p /app/lib/liblinux_hal.so.0.0.1                                   36      9      8
0       r-xp /lib/libnss_compat-2.31.so                                       32      3      0
0       rw-s /app_data/media/mediainfo.db-shm                                 32     32      0
0       r--s /dev/kgsl-3d0                                                    32      0      0
0       r-xp /usr/lib/libffi.so.7.1.0                                         32      1      0
0       r--p /usr/lib/libasound.so.2.0.0                                      32     32     32
0       r--p /usr/lib/libgio-2.0.so.0.6200.6                                  32     32     32
0       r--p /app/lib/libfdbus.so                                             32     32     32
0       r-xp /app/lib/libtouch.so.0.0.1                                       32      8      0
0       r--p /app/lib/libipod.so.1.0.0                                        32     32     32
0       r-xp /usr/lib/libogg.so.0.8.4                                         28      3      0
0       r--p /usr/lib/libgstreamer-1.0.so.0.1603.0                            28     28     28
0       r-xp /lib/librt-2.31.so                                               28      0      0
0       r--p /usr/lib/libfreetype.so.6.17.1                                   28     28     28
0       r-xp /app/lib/libremote.so.1.0.0                                      28      3      0
0       r--p /app/lib/libaudio.so.1.0.0                                       28     28     28
0       rw-s /SYSV012bbe95                                                    24      0      0
0       r-xp /app/lib/libpinyin.so.1.0.0                                      24      4      0
0       r-xp /app/lib/libtimer.so.0.0.1                                       24      1      0
0       r--p /usr/share/locale/zh_CN/LC_MESSAGES/gst-plugins-base-1.0.mo      20     20      0
0       r-xp /app/lib/libservice.so.1.0.0                                     20      1      0
0       r-xp /app/lib/libfilemgr.so.1.0.0                                     20      5      0
0       r--p /app/lib/libwifi.so.1.0.0                                        20     20     20
0       r--p /app/lib/libdeviceappclient.so.1.0.0                             20     20     20
0       r--p /app/lib/libsystem.so.1.0.0                                      20     20     20
0       r-xp /usr/lib/gstreamer-1.0/libgstapetag.so                           16      5      0
0       rw-s /SYSVa8800083                                                    16      1      0
0       rw-p /usr/lib/liborc-0.4.so.0.25.0                                    16     16     16
0       r--p /lib/libblkid.so.1.1.0                                           16     16     16
0       r--p /usr/lib/libgstaudio-1.0.so.0.1603.0                             16     16     16
0       r--p /app/lib/libspdlog.so.1.14.1                                     16     16     16
0       r--p /app/lib/libvehicle.so.1.0.0                                     16     16     16
0       r--p /app/lib/libfast.so.1.0.0                                        16     16     16
0       r-xp /app/lib/libTestActionApi.so.1.0.0                               16     16      0
0       r--p /app/lib/libdeviceclient.so.1.0.0                                16     16     16
0       r--p /app/lib/libappmgrProxy.so.0.0.1                                 16     16     16
0       r--p /app/lib/libnavigation.so.1.0.0                                  16     16     16
0       r--p /app/lib/libaa.so.0.0.1                                          16     16     16
0       r--p /app/lib/libcarplay.so.1.0.0                                     16     16     16
0       r--p /usr/lib/libsqlite3.so.0.8.6                                     16     16     16
0       r--p /app/lib/libsource.so.1.0.0                                      16     16     16
0       r-xp /usr/lib/gstreamer-1.0/libgstid3demux.so                         12      3      0
0       r--p /app/lib/libtiff.so.3.9.4                                        12     12     12
0       r--p /app/lib/libraw.so.1.8.93                                        12     12     12
0       rw-p /app/lib/libjasper.so.1.900.1                                    12     12     12
0       r--p /app/lib/libdevice.so.1.0.0                                      12     12     12
0       r--p /usr/lib/libgstpbutils-1.0.so.0.1603.0                           12     12     12
